timestamp_unix,timestamp_iso,cmd,setpoint_kw,latency_ms
1782665571.532,2026-06-28T17:52:51,HIGHER,0.00,21.049
1782665575.631,2026-06-28T17:52:55,LOWER,5.00,16.142
1782665580.107,2026-06-28T17:53:00,HIGHER,0.00,492.230
1782665583.787,2026-06-28T17:53:03,LOWER,5.00,72.756
1782665588.231,2026-06-28T17:53:08,HIGHER,0.00,418.236
1782665592.229,2026-06-28T17:53:12,LOWER,5.00,319.697
1782665596.298,2026-06-28T17:53:16,HIGHER,0.00,340.972
1782665600.361,2026-06-28T17:53:20,LOWER,5.00,308.283
1782665604.902,2026-06-28T17:53:24,HIGHER,0.00,747.133
1782665608.478,2026-06-28T17:53:28,HIGHER,-10.00,234.458
1782665612.576,2026-06-28T17:53:32,LOWER,-5.00,243.085
1782665616.644,2026-06-28T17:53:36,LOWER,0.00,212.010
1782665620.735,2026-06-28T17:53:40,LOWER,5.00,210.247
1782665624.788,2026-06-28T17:53:44,HIGHER,0.00,155.219
1782665628.842,2026-06-28T17:53:48,LOWER,5.00,115.172
1782665632.923,2026-06-28T17:53:52,HIGHER,0.00,100.331
1782665637.006,2026-06-28T17:53:57,HIGHER,-10.00,131.337
1782665641.485,2026-06-28T17:54:01,LOWER,-5.00,514.702
1782665645.081,2026-06-28T17:54:05,LOWER,0.00,14.470
1782665649.180,2026-06-28T17:54:09,LOWER,5.00,18.510
1782665653.263,2026-06-28T17:54:13,HIGHER,0.00,7.443
1782665657.371,2026-06-28T17:54:17,LOWER,5.00,20.038
1782665661.842,2026-06-28T17:54:21,HIGHER,0.00,391.539
1782665665.866,2026-06-28T17:54:25,LOWER,5.00,323.089
1782665669.930,2026-06-28T17:54:29,HIGHER,0.00,298.363
1782665673.990,2026-06-28T17:54:33,LOWER,5.00,263.340
1782665678.059,2026-06-28T17:54:38,HIGHER,0.00,284.857
1782665682.092,2026-06-28T17:54:42,LOWER,5.00,222.186
1782665686.197,2026-06-28T17:54:46,HIGHER,0.00,231.084
1782665690.278,2026-06-28T17:54:50,LOWER,5.00,215.726
1782665694.321,2026-06-28T17:54:54,HIGHER,0.00,163.012
1782665698.350,2026-06-28T17:54:58,LOWER,5.00,96.277
1782665702.393,2026-06-28T17:55:02,HIGHER,0.00,49.491
1782665706.524,2026-06-28T17:55:06,LOWER,5.00,77.578
1782665710.584,2026-06-28T17:55:10,HIGHER,0.00,40.415
1782665714.667,2026-06-28T17:55:14,LOWER,5.00,20.542
1782665718.683,2026-06-28T17:55:18,HIGHER,0.00,82.581
1782665722.735,2026-06-28T17:55:22,LOWER,5.00,35.528
1782665726.825,2026-06-28T17:55:26,HIGHER,0.00,28.521
1782665730.923,2026-06-28T17:55:30,LOWER,5.00,26.774
1782665734.936,2026-06-28T17:55:34,HIGHER,0.00,38.295
1782665738.999,2026-06-28T17:55:38,LOWER,5.00,3.432
1782665743.469,2026-06-28T17:55:43,HIGHER,0.00,378.287
1782665747.617,2026-06-28T17:55:47,LOWER,5.00,433.593
1782665751.628,2026-06-28T17:55:51,LOWER,10.00,388.883
1782665755.696,2026-06-28T17:55:55,HIGHER,0.00,357.986
1782665760.092,2026-06-28T17:56:00,LOWER,5.00,758.100
1782665763.802,2026-06-28T17:56:03,HIGHER,0.00,374.992
1782665767.863,2026-06-28T17:56:07,LOWER,5.00,331.960
1782665771.947,2026-06-28T17:56:11,HIGHER,0.00,424.032
1782665775.939,2026-06-28T17:56:15,LOWER,5.00,314.497
1782665779.996,2026-06-28T17:56:19,HIGHER,0.00,281.579
1782665784.055,2026-06-28T17:56:24,LOWER,5.00,280.051
1782665788.145,2026-06-28T17:56:28,HIGHER,0.00,368.135
1782665792.129,2026-06-28T17:56:32,LOWER,5.00,260.068
1782665796.176,2026-06-28T17:56:36,HIGHER,0.00,204.514
1782665800.335,2026-06-28T17:56:40,LOWER,5.00,274.169
1782665804.420,2026-06-28T17:56:44,HIGHER,0.00,262.902
1782665808.463,2026-06-28T17:56:48,LOWER,5.00,211.294
1782665812.449,2026-06-28T17:56:52,HIGHER,0.00,99.659
1782665816.529,2026-06-28T17:56:56,LOWER,5.00,80.732
1782665820.592,2026-06-28T17:57:00,HIGHER,0.00,179.196
1782665824.676,2026-06-28T17:57:04,LOWER,5.00,166.706
1782665828.672,2026-06-28T17:57:08,HIGHER,0.00,65.110
1782665832.774,2026-06-28T17:57:12,LOWER,5.00,74.054
1782665836.822,2026-06-28T17:57:16,LOWER,10.00,24.946
1782665841.291,2026-06-28T17:57:21,HIGHER,0.00,489.774
1782665844.922,2026-06-28T17:57:24,LOWER,5.00,24.751
1782665849.438,2026-06-28T17:57:29,HIGHER,0.00,437.627
1782665853.050,2026-06-28T17:57:33,HIGHER,-5.00,0.246
1782665853.455,2026-06-28T17:57:33,HIGHER,-10.00,396.884
1782665857.176,2026-06-28T17:57:37,LOWER,-5.00,121.572
1782665861.618,2026-06-28T17:57:41,LOWER,0.00,459.050
1782665865.240,2026-06-28T17:57:45,LOWER,5.00,89.787
1782665869.293,2026-06-28T17:57:49,HIGHER,0.00,51.666
1782665873.379,2026-06-28T17:57:53,LOWER,5.00,44.804
1782665877.461,2026-06-28T17:57:57,HIGHER,0.00,31.410
1782665881.883,2026-06-28T17:58:01,LOWER,5.00,358.131
1782665885.920,2026-06-28T17:58:05,HIGHER,0.00,349.808
1782665890.018,2026-06-28T17:58:10,LOWER,5.00,361.964
1782665894.122,2026-06-28T17:58:14,HIGHER,0.00,373.120
1782665898.132,2026-06-28T17:58:18,LOWER,5.00,292.930
1782665902.201,2026-06-28T17:58:22,HIGHER,0.00,272.998
1782665906.280,2026-06-28T17:58:26,LOWER,5.00,259.371
1782665910.317,2026-06-28T17:58:30,HIGHER,0.00,206.926
1782665914.394,2026-06-28T17:58:34,LOWER,5.00,184.961
1782665918.391,2026-06-28T17:58:38,HIGHER,0.00,81.818
1782665922.438,2026-06-28T17:58:42,LOWER,5.00,39.686
1782665926.525,2026-06-28T17:58:46,HIGHER,0.00,80.793
1782665930.586,2026-06-28T17:58:50,LOWER,5.00,49.128
1782665935.017,2026-06-28T17:58:55,HIGHER,0.00,381.584
1782665939.039,2026-06-28T17:58:59,LOWER,5.00,303.671
1782665943.126,2026-06-28T17:59:03,HIGHER,0.00,396.206
1782665947.187,2026-06-28T17:59:07,LOWER,5.00,370.294
1782665951.235,2026-06-28T17:59:11,HIGHER,0.00,321.812
1782665955.721,2026-06-28T17:59:15,LOWER,5.00,715.765
1782665959.351,2026-06-28T17:59:19,HIGHER,0.00,251.704
1782665963.427,2026-06-28T17:59:23,HIGHER,-10.00,276.056
1782665967.530,2026-06-28T17:59:27,LOWER,-5.00,289.613
1782665971.553,2026-06-28T17:59:31,LOWER,0.00,222.627
1782665975.632,2026-06-28T17:59:35,LOWER,5.00,207.596
1782665979.701,2026-06-28T17:59:39,HIGHER,0.00,274.080
1782665983.775,2026-06-28T17:59:43,LOWER,5.00,252.086
1782665987.781,2026-06-28T17:59:47,HIGHER,0.00,258.362
1782665991.882,2026-06-28T17:59:51,LOWER,5.00,259.666
1782665996.378,2026-06-28T17:59:56,LOWER,10.00,695.492
1782665999.688,2026-06-28T17:59:59,HIGHER,0.00,0.364
1782666003.704,2026-06-28T18:00:03,LOWER,5.00,20.999
1782666008.156,2026-06-28T18:00:08,HIGHER,0.00,382.901
1782666012.206,2026-06-28T18:00:12,LOWER,5.00,341.862
1782666016.276,2026-06-28T18:00:16,HIGHER,0.00,323.837
1782666020.334,2026-06-28T18:00:20,LOWER,5.00,289.642
1782666024.346,2026-06-28T18:00:24,HIGHER,0.00,207.581
1782666028.417,2026-06-28T18:00:28,LOWER,5.00,232.402
1782666032.473,2026-06-28T18:00:32,HIGHER,0.00,196.295
1782666036.554,2026-06-28T18:00:36,LOWER,5.00,181.884
1782666040.592,2026-06-28T18:00:40,HIGHER,0.00,125.674
1782666044.677,2026-06-28T18:00:44,LOWER,5.00,114.554
